period,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
115011093,1,2,8,12,15,17,18,23,29,34,36,47,49,50,56,57,58,59,72,80
115011094,3,6,10,16,19,21,26,28,30,35,38,44,45,47,55,59,60,62,67,74
115011095,4,6,8,14,15,16,18,21,31,33,35,38,45,52,54,57,58,60,69,73
115011096,3,4,5,9,10,15,16,17,35,37,39,42,50,55,58,61,64,65,66,70
115011097,1,4,11,20,22,25,26,27,38,41,45,47,53,58,64,65,71,75,76,79
115011098,3,4,8,9,10,24,27,29,31,33,41,45,51,52,59,62,66,69,73,75
115011099,1,2,4,6,7,16,37,43,45,50,51,53,55,61,62,64,70,71,76,78
115011100,1,2,4,5,6,8,10,11,13,14,16,21,38,48,50,56,63,66,69,74
115011101,2,4,7,10,14,18,22,25,27,30,36,47,48,51,52,64,67,69,73,79
115011102,5,7,17,18,24,27,28,32,34,37,40,43,49,54,59,64,65,72,75,78
115011103,4,6,8,10,15,17,20,22,26,32,33,34,37,45,46,47,48,52,74,76
115011104,2,7,8,13,14,15,20,23,28,35,38,41,48,52,55,59,67,70,73,75
115011105,1,2,6,10,12,15,18,20,22,24,27,37,48,51,52,53,59,68,70,73
115011106,2,6,7,13,16,26,27,34,36,43,48,51,60,61,63,64,66,68,71,75
115011107,3,6,8,12,14,16,18,21,27,33,35,48,56,60,63,66,67,75,76,77
115011108,5,10,12,13,17,18,20,21,22,25,28,30,35,38,45,60,62,70,71,78
115011109,1,3,7,12,15,17,24,27,28,30,31,36,39,41,47,51,55,60,67,80
115011110,5,10,11,12,15,16,18,21,29,35,45,48,52,56,58,59,63,67,77,79
115011111,2,4,12,17,18,22,24,27,32,38,41,43,47,51,55,57,59,63,67,68
115011112,3,8,12,15,23,34,44,47,48,49,53,62,64,66,71,72,73,74,76,80
115011113,2,5,12,14,15,19,25,30,38,39,44,48,49,51,52,56,60,64,66,72
115011114,1,6,9,13,18,21,27,29,30,34,39,42,46,50,52,55,56,65,72,76
115011115,3,12,20,23,26,29,32,35,40,41,43,44,45,48,49,53,66,67,68,70
115011116,1,5,6,7,12,14,19,26,30,34,50,51,52,56,62,64,68,69,77,79
115011117,5,8,10,13,17,19,21,25,27,29,31,32,44,46,52,57,60,62,63,79
115011118,1,2,4,6,19,28,32,38,41,43,44,46,50,51,53,64,65,72,73,75
115011119,1,3,6,8,10,11,13,20,26,29,34,36,41,58,59,60,61,64,66,68
115011120,2,6,7,13,16,28,29,33,37,42,43,44,51,56,62,66,70,76,78,80
115011121,5,7,10,12,15,19,21,28,29,32,41,42,48,56,58,60,63,70,71,76
115011122,3,5,10,13,22,23,27,30,35,36,48,53,56,61,63,64,65,67,68,71
115011123,2,5,7,15,19,24,25,27,29,32,33,36,37,45,52,55,60,61,77,80
115011124,2,4,6,14,17,19,24,28,30,33,34,42,44,45,46,50,56,67,74,77
115011125,3,4,5,8,10,12,17,18,19,24,31,44,48,53,55,56,62,63,64,75
115011126,2,4,7,11,12,20,25,26,31,32,40,41,43,45,53,54,59,62,70,79
115011127,3,10,14,15,22,28,32,34,35,37,41,45,46,47,49,52,56,70,77,80
115011128,1,4,5,7,9,24,28,29,37,44,51,53,54,55,60,66,67,69,70,71
115011129,2,4,8,11,16,19,21,26,32,35,44,47,49,50,52,58,60,63,77,80
115011130,1,2,7,9,12,21,23,28,33,36,37,40,47,48,53,54,61,64,73,78
115011131,1,3,4,11,12,13,22,24,31,36,42,44,47,53,55,57,60,64,72,73
115011132,2,3,4,5,9,16,26,28,41,42,46,48,51,54,57,65,69,74,77,80
115011133,1,7,12,14,19,23,25,26,33,38,46,47,49,50,58,64,65,66,69,71
115011134,1,2,5,17,22,26,28,31,34,40,46,49,50,52,55,64,66,68,70,80
115011135,3,4,6,7,13,20,26,30,38,40,42,45,54,58,59,62,63,65,67,77
115011136,1,2,5,7,15,17,19,23,24,37,49,54,55,57,58,62,75,76,78,79
115011137,3,6,20,22,34,37,40,41,42,43,48,49,50,56,58,59,65,68,71,76
115011138,1,2,6,10,14,16,17,18,23,26,29,31,37,38,45,46,51,67,74,78
115011139,1,5,8,10,17,27,29,30,31,33,34,40,44,45,50,56,64,66,75,77
